antecedents,consequents,support,confidence,lift,leverage,conviction
"high_elderly_density, rich_accessibility_support",rich_food_access,0.0821917808219178,0.6206896551724138,1.7653381101656964,0.03563311857550927,1.7094229970942303
"high_elderly_density, rich_accessibility_support, supermarket_present",rich_food_access,0.0821917808219178,0.6206896551724138,1.7653381101656964,0.03563311857550927,1.7094229970942303
"high_elderly_density, rich_accessibility_support","rich_food_access, supermarket_present",0.0821917808219178,0.6206896551724138,1.7653381101656964,0.03563311857550927,1.7094229970942303
"hawker_present, high_elderly_share",high_elderly_density,0.1872146118721461,0.6029411764705882,1.7605882352941176,0.08087821354850816,1.6560121765601215
"hawker_present, high_elderly_share","high_elderly_density, supermarket_present",0.1872146118721461,0.6029411764705882,1.7605882352941176,0.08087821354850816,1.6560121765601215
high_elderly_density,"hawker_present, high_elderly_share",0.1872146118721461,0.5466666666666666,1.7605882352941176,0.08087821354850816,1.5209508460918613
"high_elderly_density, supermarket_present","hawker_present, high_elderly_share",0.1872146118721461,0.5466666666666666,1.7605882352941176,0.08087821354850816,1.5209508460918613
poor_transit_access,poor_accessibility_support,0.2191780821917808,0.64,1.7520000000000002,0.09407643710514793,1.7630644342973112
poor_accessibility_support,poor_transit_access,0.2191780821917808,0.6,1.752,0.09407643710514793,1.643835616438356
"diverse_food_environment, rich_accessibility_support","hawker_present, high_elderly_share",0.1461187214611872,0.5423728813559322,1.7467597208374877,0.06246742144659202,1.506680196177913
"high_elderly_density, rich_transit_access",rich_food_access,0.0867579908675799,0.6129032258064516,1.7431922915793885,0.03698838639728112,1.6750380517503807
"high_elderly_density, rich_transit_access, supermarket_present",rich_food_access,0.0867579908675799,0.6129032258064516,1.7431922915793885,0.03698838639728112,1.6750380517503807
"high_elderly_density, rich_transit_access","rich_food_access, supermarket_present",0.0867579908675799,0.6129032258064516,1.7431922915793885,0.03698838639728112,1.6750380517503807
"diverse_food_environment, high_elderly_share, poor_transit_access",rich_food_access,0.0502283105022831,0.6111111111111112,1.7380952380952384,0.02132983048727091,1.667318982387476
"poor_accessibility_support, poor_transit_access","poor_food_access, supermarket_present",0.1141552511415525,0.5208333333333334,1.7282196969696972,0.048101582535810344,1.4580107206670638
"diverse_food_environment, poor_food_access","poor_accessibility_support, supermarket_present",0.0867579908675799,0.5588235294117647,1.723695111847556,0.03642542899439128,1.5318112633181127
"high_elderly_share, supermarket_present",high_elderly_density,0.1917808219178082,0.5833333333333334,1.7033333333333336,0.07918934133983863,1.5780821917808219
"hawker_present, rich_accessibility_support, rich_transit_access",high_elderly_share,0.0958904109589041,0.5833333333333334,1.7033333333333336,0.03959467066991931,1.5780821917808219
"diverse_food_environment, rich_accessibility_support, rich_transit_access",high_elderly_share,0.0958904109589041,0.5833333333333334,1.7033333333333336,0.03959467066991931,1.5780821917808219
